xflr5 v6.39

Plane name :        Profundor
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x57.0mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.000     0.000   0.321738   0.012272   0.016131   0.028403  -0.000000   0.000000  -0.097560   0.000000   0.000000   15.0000     0.1110
    2.500     0.000   0.347723   0.014338   0.016060   0.030397  -0.000000   0.000000  -0.097976   0.000000   0.000000   15.0000     0.1072
    3.000     0.000   0.373638   0.016560   0.015996   0.032556  -0.000000   0.000000  -0.098386  -0.000000  -0.000000   15.0000     0.1039
    3.500     0.000   0.399475   0.018938   0.015936   0.034874  -0.000000   0.000000  -0.098792   0.000000   0.000000   15.0000     0.1010
    4.000     0.000   0.425229   0.021469   0.015886   0.037354  -0.000000   0.000000  -0.099192   0.000000   0.000000   15.0000     0.0985
    4.500     0.000   0.450894   0.024151   0.015873   0.040024  -0.000000   0.000000  -0.099586   0.000000   0.000000   15.0000     0.0964
    5.000     0.000   0.476464   0.026985   0.015877   0.042862  -0.000000   0.000000  -0.099975   0.000000   0.000000   15.0000     0.0944
    5.500     0.000   0.501934   0.029966   0.015889   0.045855  -0.000000   0.000000  -0.100358  -0.000000  -0.000000   15.0000     0.0927
    6.000     0.000   0.527296   0.033094   0.015900   0.048994  -0.000000   0.000000  -0.100735  -0.000000  -0.000000   15.0000     0.0911
    6.500     0.000   0.552546   0.036366   0.015835   0.052200  -0.000000   0.000000  -0.101106  -0.000000  -0.000000   15.0000     0.0897
    7.000     0.000   0.577677   0.039780   0.015747   0.055526  -0.000000   0.000000  -0.101471  -0.000000  -0.000000   15.0000     0.0884
    7.500     0.000   0.602685   0.043334   0.015650   0.058984  -0.000000   0.000000  -0.101830  -0.000000  -0.000000   15.0000     0.0873
    8.000     0.000   0.627563   0.047025   0.015574   0.062599  -0.000000   0.000000  -0.102183  -0.000000  -0.000000   15.0000     0.0862
    8.500     0.000   0.652305   0.050851   0.015654   0.066505  -0.000000   0.000000  -0.102529   0.000000   0.000000   15.0000     0.0853
    9.000     0.000   0.676907   0.054809   0.015779   0.070588  -0.000000   0.000000  -0.102869   0.000000  -0.000000   15.0000     0.0844
    9.500     0.000   0.701363   0.058896   0.015921   0.074817  -0.000000   0.000000  -0.103201   0.000000  -0.000000   15.0000     0.0836
   10.000     0.000   0.725668   0.063111   0.016076   0.079187  -0.000000   0.000000  -0.103526   0.000000  -0.000000   15.0000     0.0829
   10.500     0.000   0.749816   0.067449   0.016315   0.083764  -0.000000   0.000000  -0.103844   0.000000  -0.000000   15.0000     0.0822
   11.000     0.000   0.773802   0.071907   0.016598   0.088505  -0.000000   0.000000  -0.104155   0.000000  -0.000000   15.0000     0.0816
   11.500     0.000   0.797622   0.076483   0.016900   0.093383  -0.000000   0.000000  -0.104458   0.000000  -0.000000   15.0000     0.0810
   12.000     0.000   0.821269   0.081174   0.017211   0.098385  -0.000000   0.000000  -0.104754   0.000000   0.000000   15.0000     0.0805
   12.500     0.000   0.844740   0.085975   0.017435   0.103410  -0.000000   0.000000  -0.105042   0.000000   0.000000   15.0000     0.0800
   13.000     0.000   0.868029   0.090884   0.017547   0.108431  -0.000000   0.000000  -0.105323   0.000000   0.000000   15.0000     0.0795
   13.500     0.000   0.891132   0.095898   0.017629   0.113526  -0.000000   0.000000  -0.105597   0.000000   0.000000   15.0000     0.0791
   14.000     0.000   0.914044   0.101012   0.017696   0.118708  -0.000000   0.000000  -0.105863   0.000000   0.000000   15.0000     0.0787
   14.500     0.000   0.936760   0.106222   0.017770   0.123992  -0.000000   0.000000  -0.106122  -0.000000   0.000000   15.0000     0.0783
   15.000     0.000   0.959276   0.111526   0.017917   0.129444  -0.000000   0.000000  -0.106373  -0.000000  -0.000000   15.0000     0.0780
   15.500     0.000   0.981589   0.116920   0.018098   0.135018  -0.000000   0.000000  -0.106616   0.000000   0.000000   15.0000     0.0777
   16.000     0.000   1.003693   0.122399   0.018280   0.140679  -0.000000   0.000000  -0.106851   0.000000   0.000000   15.0000     0.0774
   16.500     0.000   1.025584   0.127959   0.018469   0.146428  -0.000000   0.000000  -0.107078  -0.000000  -0.000000   15.0000     0.0772
   17.000     0.000   1.047258   0.133597   0.018602   0.152199  -0.000000   0.000000  -0.107297   0.000000   0.000000   15.0000     0.0769
   17.500     0.000   1.068713   0.139309   0.018670   0.157979  -0.000000   0.000000  -0.107508  -0.000000  -0.000000   15.0000     0.0767
   18.000     0.000   1.089943   0.145090   0.018719   0.163808  -0.000000   0.000000  -0.107711  -0.000000  -0.000000   15.0000     0.0765
   18.500     0.000   1.110945   0.150936   0.018754   0.169689  -0.000000   0.000000  -0.107906  -0.000000  -0.000000   15.0000     0.0763
   19.000     0.000   1.131716   0.156843   0.018776   0.175618  -0.000000   0.000000  -0.108092  -0.000000  -0.000000   15.0000     0.0762
   19.500     0.000   1.152252   0.162806   0.018853   0.181659  -0.000000   0.000000  -0.108271  -0.000000  -0.000000   15.0000     0.0760
   20.000     0.000   1.172550   0.168821   0.018972   0.187794  -0.000000   0.000000  -0.108441  -0.000000  -0.000000   15.0000     0.0759


