xflr5 v6.39

Plane name :        CA2013 - Asa
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x62.3mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.000     0.000   1.107245   0.055571   0.036204   0.091774   0.000000  -0.000000  -0.322386   0.000000   0.000000   15.0000     0.1345
    2.500     0.000   1.145694   0.059486   0.034602   0.094088   0.000000  -0.000000  -0.322549   0.000000  -0.000000   15.0000     0.1319
    3.000     0.000   1.183981   0.063520   0.033057   0.096577   0.000000  -0.000000  -0.322705   0.000000  -0.000000   15.0000     0.1296
    3.500     0.000   1.222099   0.067669   0.031545   0.099214   0.000000  -0.000000  -0.322852   0.000000  -0.000000   15.0000     0.1274
    4.000     0.000   1.260043   0.071933   0.030051   0.101984   0.000000  -0.000000  -0.322990   0.000000  -0.000000   15.0000     0.1253
    4.500     0.000   1.297806   0.076307   0.028884   0.105190   0.000000  -0.000000  -0.323121   0.000000  -0.000000   15.0000     0.1234
    5.000     0.000   1.335382   0.080789   0.028090   0.108879   0.000000  -0.000000  -0.323243   0.000000  -0.000000   15.0000     0.1215
    5.500     0.000   1.372766   0.085378   0.027479   0.112856   0.000000  -0.000000  -0.323358   0.000000   0.000000   15.0000     0.1198
    6.000     0.000   1.409952   0.090069   0.027007   0.117076   0.000000  -0.000000  -0.323464   0.000000  -0.000000   15.0000     0.1182
    6.500     0.000   1.446934   0.094860   0.026644   0.121504   0.000000  -0.000000  -0.323561   0.000000   0.000000   15.0000     0.1167
    7.000     0.000   1.483707   0.099749   0.026425   0.126175   0.000000  -0.000000  -0.323650   0.000000  -0.000000   15.0000     0.1153
    7.500     0.000   1.520265   0.104732   0.026289   0.131021   0.000000  -0.000000  -0.323730   0.000000   0.000000   15.0000     0.1139
    8.000     0.000   1.556602   0.109806   0.026191   0.135997   0.000000  -0.000000  -0.323802   0.000000   0.000000   15.0000     0.1126
    8.500     0.000   1.592715   0.114968   0.026141   0.141109   0.000000  -0.000000  -0.323865   0.000000  -0.000000   15.0000     0.1114
