xflr5 v6.39

Plane name :        Aviao
Polar name :        T1-15.0 m/s-VLM2-7.5kg-x73.3mm-proj_area
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.500     0.000   1.078224   0.057066   0.039192   0.096258   0.000000  -0.000000  -0.088482   0.000000  -0.000000   15.0000     0.0928
    3.000     0.000   1.120157   0.060948   0.037648   0.098596   0.000000  -0.000000  -0.095957   0.000000  -0.000000   15.0000     0.0936
    3.500     0.000   1.161927   0.064978   0.036142   0.101120   0.000000  -0.000000  -0.103473   0.000000  -0.000000   15.0000     0.0944
    4.000     0.000   1.203527   0.069155   0.034657   0.103811   0.000000  -0.000000  -0.111026   0.000000  -0.000000   15.0000     0.0951
    4.500     0.000   1.244950   0.073475   0.033439   0.106914   0.000000  -0.000000  -0.118615   0.000000  -0.000000   15.0000     0.0958
    5.000     0.000   1.286188   0.077937   0.032640   0.110577   0.000000  -0.000000  -0.126240  -0.000000  -0.000000   15.0000     0.0964
    5.500     0.000   1.327236   0.082537   0.032035   0.114571   0.000000  -0.000000  -0.133897  -0.000000  -0.000000   15.0000     0.0970
    6.000     0.000   1.368084   0.087273   0.031579   0.118852   0.000000  -0.000000  -0.141583  -0.000000  -0.000000   15.0000     0.0976
    6.500     0.000   1.408728   0.092141   0.031241   0.123382   0.000000  -0.000000  -0.149297  -0.000000  -0.000000   15.0000     0.0982
    7.000     0.000   1.449160   0.097139   0.031042   0.128181   0.000000  -0.000000  -0.157035  -0.000000  -0.000000   15.0000     0.0987
    7.500     0.000   1.489374   0.102264   0.030941   0.133205   0.000000  -0.000000  -0.164795  -0.000000  -0.000000   15.0000     0.0992
    8.000     0.000   1.529363   0.107512   0.030883   0.138395   0.000000  -0.000000  -0.172573  -0.000000  -0.000000   15.0000     0.0997
    8.500     0.000   1.569121   0.112880   0.030876   0.143756   0.000000  -0.000000  -0.180368  -0.000000  -0.000000   15.0000     0.1002
    9.000     0.000   1.608641   0.118364   0.030960   0.149324   0.000000  -0.000000  -0.188175  -0.000000  -0.000000   15.0000     0.1006
    9.500     0.000   1.647917   0.123961   0.031083   0.155045   0.000000  -0.000000  -0.195989  -0.000000  -0.000000   15.0000     0.1011
   10.000     0.000   1.686944   0.129668   0.031263   0.160931   0.000000  -0.000000  -0.203809  -0.000000  -0.000000   15.0000     0.1015
   10.500     0.000   1.725714   0.135479   0.031486   0.166965   0.000000  -0.000000  -0.211632  -0.000000  -0.000000   15.0000     0.1019
   11.000     0.000   1.764222   0.141393   0.031683   0.173076   0.000000  -0.000000  -0.219456  -0.000000  -0.000000   15.0000     0.1023
   11.500     0.000   1.802462   0.147404   0.031891   0.179295   0.000000  -0.000000  -0.227278  -0.000000  -0.000000   15.0000     0.1027
   12.000     0.000   1.840429   0.153509   0.032217   0.185726   0.000000  -0.000000  -0.235096  -0.000000  -0.000000   15.0000     0.1031
   12.500     0.000   1.878117   0.159703   0.032555   0.192259   0.000000  -0.000000  -0.242904  -0.000000  -0.000000   15.0000     0.1035
   13.000     0.000   1.915521   0.165984   0.032925   0.198909   0.000000  -0.000000  -0.250703  -0.000000  -0.000000   15.0000     0.1039
   13.500     0.000   1.952634   0.172345   0.033339   0.205685   0.000000  -0.000000  -0.258491  -0.000000  -0.000000   15.0000     0.1042
   14.000     0.000   1.989452   0.178784   0.033773   0.212557   0.000000  -0.000000  -0.266264  -0.000000  -0.000000   15.0000     0.1046
   14.500     0.000   2.025970   0.185295   0.034171   0.219466   0.000000  -0.000000  -0.274021  -0.000000  -0.000000   15.0000     0.1049
   15.000     0.000   2.062183   0.191875   0.034642   0.226516   0.000000  -0.000000  -0.281759  -0.000000  -0.000000   15.0000     0.1053
   15.500     0.000   2.098085   0.198518   0.035202   0.233720   0.000000  -0.000000  -0.289461  -0.000000  -0.000000   15.0000     0.1056
   16.000     0.000   2.133673   0.205220   0.035968   0.241189   0.000000  -0.000000  -0.297065  -0.000000  -0.000000   15.0000     0.1060
   16.500     0.000   2.168941   0.211978   0.036874   0.248851   0.000000  -0.000000  -0.304580  -0.000000  -0.000000   15.0000     0.1063
   17.000     0.000   2.203886   0.218785   0.038005   0.256790   0.000000  -0.000000  -0.312001  -0.000000  -0.000000   15.0000     0.1067
   17.500     0.000   2.238502   0.225638   0.039129   0.264766   0.000000  -0.000000  -0.319353  -0.000000  -0.000000   15.0000     0.1070
   18.000     0.000   2.272785   0.232531   0.040527   0.273057   0.000000  -0.000000  -0.326620  -0.000000  -0.000000   15.0000     0.1073
   18.500     0.000   2.306732   0.239460   0.035859   0.275319   0.000000  -0.000000  -0.333733  -0.000000  -0.000000   15.0000     0.1076
   19.000     0.000   2.340339   0.246419   0.032241   0.278660   0.000000  -0.000000  -0.340797  -0.000000  -0.000000   15.0000     0.1080
   19.500     0.000   2.373601   0.253405   0.030236   0.283641   0.000000  -0.000000  -0.347761  -0.000000  -0.000000   15.0000     0.1083
   20.000     0.000   2.406515   0.260413   0.030449   0.290862   0.000000  -0.000000  -0.354288  -0.000000  -0.000000   15.0000     0.1086


