xflr5 v6.39

Plane name : CA2013 - 1,8 x 0,25
Polar name : T1-15.0 m/s-VLM2-proj_area
Freestream speed : 15.000 m/s


alpha Beta CL CDi CDv CD CY Cl Cm Cn Cni QInf XCP
3.000 0.000 1.087835 0.061315 0.037682 0.098997 0.000000 -0.000000 0.020415 -0.000000 -0.000000 15.0000 0.0754
3.500 0.000 1.129625 0.065140 0.036157 0.101297 0.000000 -0.000000 0.016726 -0.000000 -0.000000 15.0000 0.0768
4.000 0.000 1.171252 0.069112 0.034654 0.103767 0.000000 -0.000000 0.013253 -0.000000 -0.000000 15.0000 0.0782
4.500 0.000 1.212708 0.073229 0.033384 0.106612 0.000000 -0.000000 0.010072 -0.000000 -0.000000 15.0000 0.0795
5.000 0.000 1.253985 0.077487 0.032556 0.110042 0.000000 -0.000000 0.007257 -0.000000 -0.000000 15.0000 0.0807
5.500 0.000 1.295076 0.081884 0.031925 0.113809 0.000000 -0.000000 0.004723 -0.000000 -0.000000 15.0000 0.0818
6.000 0.000 1.335976 0.086417 0.031440 0.117856 0.000000 -0.000000 0.002452 -0.000000 -0.000000 15.0000 0.0829
6.500 0.000 1.376676 0.091083 0.031073 0.122157 0.000000 -0.000000 0.000435 -0.000000 -0.000000 15.0000 0.0839
7.000 0.000 1.417171 0.095881 0.030840 0.126721 0.000000 -0.000000 -0.001321 -0.000000 -0.000000 15.0000 0.0849
7.500 0.000 1.457453 0.100805 0.030716 0.131521 0.000000 -0.000000 -0.002827 -0.000000 -0.000000 15.0000 0.0858
8.000 0.000 1.497517 0.105854 0.030635 0.136489 0.000000 -0.000000 -0.004103 -0.000000 -0.000000 15.0000 0.0867
8.500 0.000 1.537354 0.111024 0.030598 0.141623 0.000000 -0.000000 -0.005149 -0.000000 -0.000000 15.0000 0.0875
9.000 0.000 1.576961 0.116312 0.030611 0.146923 0.000000 -0.000000 -0.005962 -0.000000 -0.000000 15.0000 0.0883
9.500 0.000 1.616328 0.121714 0.030643 0.152356 0.000000 -0.000000 -0.006554 -0.000000 -0.000000 15.0000 0.0891
10.000 0.000 1.655452 0.127226 0.030730 0.157956 0.000000 -0.000000 -0.006911 -0.000000 -0.000000 15.0000 0.0898
10.500 0.000 1.694325 0.132846 0.030868 0.163713 0.000000 -0.000000 -0.007034 -0.000000 -0.000000 15.0000 0.0905
11.000 0.000 1.732942 0.138568 0.030992 0.169561 0.000000 -0.000000 -0.006945 -0.000000 -0.000000 15.0000 0.0912
11.500 0.000 1.771297 0.144391 0.031111 0.175502 0.000000 -0.000000 -0.006642 -0.000000 -0.000000 15.0000 0.0918
